dataset_name,is_vision,is_grounding,base_weight,upweight_weight,weight_changed,packed_rows,base_samples_seen,upweight_samples_seen,base_epochs,upweight_epochs,gcs_path
openbee_honey_chart_mmtab_v1_en,True,False,0.014205243280006842,0.014205243280006842,False,50407,29092.3,29092.3,0.5771,0.5771,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_chart_mmtab_v1_en/train_seq_len_8193/
openbee_honey_general_svit_core_150k_v1_en,True,False,0.01272791375810666,0.01272791375810666,False,44244,26066.8,26066.8,0.5892,0.5892,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_svit_core_150k_v1_en/train_seq_len_8193/
openbee_honey_document_cosyn_document_v1_en,True,False,0.011787077734146193,0.011787077734146193,False,41584,24139.9,24139.9,0.5805,0.5805,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_document_cosyn_document_v1_en/train_seq_len_8193/
openbee_honey_chart_cosyn_table_v1_en,True,False,0.009828481986153027,0.009828481986153027,False,34136,20128.7,20128.7,0.5897,0.5897,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_chart_cosyn_table_v1_en/train_seq_len_8193/
openbee_honey_stem_visualwebinstruct_v1_en,True,False,0.009672098639852321,0.009672098639852321,False,32704,19808.5,19808.5,0.6057,0.6057,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_stem_visualwebinstruct_v1_en/train_seq_len_8193/
openbee_honey_chart_figureqa_v1_en,True,False,0.009117853518819007,0.009117853518819007,False,31715,18673.4,18673.4,0.5888,0.5888,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_chart_figureqa_v1_en/train_seq_len_8193/
openbee_honey_chart_cosyn_diagram_v1_en,True,False,0.009102074298291369,0.009102074298291369,False,31697,18641.0,18641.0,0.5881,0.5881,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_chart_cosyn_diagram_v1_en/train_seq_len_8193/
openbee_honey_chart_ureader_qa_v1_en,True,False,0.007591777476360225,0.007591777476360225,False,26936,15548.0,15548.0,0.5772,0.5772,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_chart_ureader_qa_v1_en/train_seq_len_8193/
openbee_honey_stem_visualwebinstruct_filtered_v1_en,True,False,0.0075497934788849004,0.0075497934788849004,False,26311,15462.0,15462.0,0.5877,0.5877,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_stem_visualwebinstruct_filtered_v1_en/train_seq_len_8193/
openbee_honey_document_screenqa_v1_en,True,False,0.007314232258150864,0.007314232258150864,False,26376,14979.5,14979.5,0.5679,0.5679,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_document_screenqa_v1_en/train_seq_len_8193/
