dataset_name,is_vision,is_grounding,base_weight,upweight_weight,weight_changed,packed_rows,base_samples_seen,upweight_samples_seen,base_epochs,upweight_epochs,balanced_weight,balanced_samples_seen,balanced_epochs,gcs_path
openbee_honey_grounding_and_counting_iconqa_v1_en,True,True,0.0006159531441681865,0.001639892578125,True,2239,1261.5,3358.5,0.5634,1.5,0.0006318232510306325,1294.0,0.5779,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_grounding_and_counting_iconqa_v1_en/train_seq_len_8193/
super_clevr_train,True,True,0.00045754471787210204,0.0,True,2867,937.1,0.0,0.3268,0.0,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/super_clevr_train/train_seq_len_8193
mammoth_lvis_instruct4v_220k,True,True,0.00040993108367789473,0.00040993108367789473,False,12829,839.5,839.5,0.0654,0.0654,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/mammoth_lvis_instruct4v_220k/train_seq_len_8193
mammoth_sharegpt4v_sam,True,True,0.0003507224981614972,0.0003507224981614972,False,10508,718.3,718.3,0.0684,0.0684,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/mammoth_sharegpt4v_sam/train_seq_len_8193
the_cauldron_tallyqa,True,True,0.0003324631931031365,0.0,True,8269,680.9,0.0,0.0823,0.0,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/the_cauldron_tallyqa/train_seq_len_8193
ctw_bbox_v1,True,True,0.00030596942891295464,0.00030596942891295464,False,11363,626.6,626.6,0.0551,0.0551,0.00030596942891295464,626.6,0.0551,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/ctw_bbox_v1/train_seq_len_8193
rects_cropped,True,True,0.00018265672380242618,0.00018265672380242618,False,5360,374.1,374.1,0.0698,0.0698,0.00018265672380242618,374.1,0.0698,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/rects_cropped/train_seq_len_8193
the_cauldron_clevr,True,True,0.00017813796449691574,0.0,True,6394,364.8,0.0,0.0571,0.0,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/the_cauldron_clevr/train_seq_len_8193
hiertext_bbox_v1,True,True,0.00017337208554188538,0.00017337208554188538,False,5503,355.1,355.1,0.0645,0.0645,0.00017337208554188538,355.1,0.0645,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/hiertext_bbox_v1/train_seq_len_8193
openbee_honey_grounding_and_counting_movienet_v1_en,True,True,0.00016793598990129881,0.000454833984375,True,621,343.9,931.5,0.5538,1.5,0.00016793598990129881,343.9,0.5538,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_grounding_and_counting_movienet_v1_en/train_seq_len_8193/
openbee_honey_grounding_and_counting_super_clevr_v1_en,True,True,0.00016709067451588962,8.354533725794481e-05,True,602,342.2,171.1,0.5684,0.2842,0.0003393016110321904,694.9,1.1543,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_grounding_and_counting_super_clevr_v1_en/train_seq_len_8193/
rects_full,True,True,0.00014343530514287925,0.00014343530514287925,False,3616,293.8,293.8,0.0812,0.0812,0.00014343530514287925,293.8,0.0812,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/rects_full/train_seq_len_8193
openbee_honey_grounding_and_counting_mathv360k_vqa_as_v1_en,True,True,0.00011158163087401735,0.000293701171875,True,401,228.5,601.5,0.5699,1.5,0.00011158163087401735,228.5,0.5699,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_grounding_and_counting_mathv360k_vqa_as_v1_en/train_seq_len_8193/
openbee_honey_grounding_and_counting_clevr_change_v1_en,True,True,0.00010481910779074356,5.240955389537178e-05,True,368,214.7,107.3,0.5833,0.2917,0.0002128502517773606,435.9,1.1846,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_grounding_and_counting_clevr_change_v1_en/train_seq_len_8193/
mammoth_rects_train,True,True,0.00010427780732738689,0.00010427780732738689,False,3176,213.6,213.6,0.0672,0.0672,0.00010427780732738689,213.6,0.0672,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/mammoth_rects_train/train_seq_len_8193
openbee_honey_general_objects365_v1_en,True,True,8.115027699928535e-05,0.0003246011079971414,True,296,166.2,664.8,0.5615,2.2459,8.115027699928535e-05,166.2,0.5615,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_general_objects365_v1_en/train_seq_len_8193/
mammoth_super_clevr,True,True,6.136262920589346e-05,0.0,True,1851,125.7,0.0,0.0679,0.0,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/mammoth_super_clevr/train_seq_len_8193
mammoth_visual7w,True,True,6.0092295747985665e-05,6.0092295747985665e-05,False,1889,123.1,123.1,0.0652,0.0652,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/mammoth_visual7w/train_seq_len_8193
openbee_honey_grounding_and_counting_clevr_math_v1_en,True,True,6.001739236405478e-05,3.000869618202739e-05,True,224,122.9,61.5,0.5487,0.2744,0.0001218739344854242,249.6,1.1143,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_grounding_and_counting_clevr_math_v1_en/train_seq_len_8193/
the_cauldron_iconqa,True,True,4.633358749511249e-05,4.633358749511249e-05,False,1612,94.9,94.9,0.0589,0.0589,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/the_cauldron_iconqa/train_seq_len_8193
mammoth_internvl2_llama3_super_clevr,True,True,2.6235147500269477e-05,0.0,True,790,53.7,0.0,0.068,0.0,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/mammoth_internvl2_llama3_super_clevr/train_seq_len_8193
mammoth_tallyqa,True,True,2.3363089247608395e-05,0.0,True,764,47.8,0.0,0.0626,0.0,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/mammoth_tallyqa/train_seq_len_8193
the_cauldron_visual7w,True,True,1.6302571135466816e-05,1.6302571135466816e-05,False,1073,33.4,33.4,0.0311,0.0311,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/the_cauldron_visual7w/train_seq_len_8193
mammoth_clevr_math,True,True,1.563062472121318e-05,0.0,True,507,32.0,0.0,0.0631,0.0,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/mammoth_clevr_math/train_seq_len_8193
openbee_honey_grounding_and_counting_other_v1_en,True,True,1.5215676937365999e-05,4.1015625e-05,True,56,31.2,84.0,0.5565,1.5,1.5215676937365999e-05,31.2,0.5565,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/openbee_honey_grounding_and_counting_other_v1_en/train_seq_len_8193/
mammoth_iconqa,True,True,2.5958988052898227e-06,2.5958988052898227e-06,False,81,5.3,5.3,0.0656,0.0656,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/mammoth_iconqa/train_seq_len_8193
mammoth_internvl2_llama3_iconqa,True,True,6.627826736910182e-07,6.627826736910182e-07,False,21,1.4,1.4,0.0646,0.0646,0.0,0.0,0.0,gs://cohere-data/vision/continuous_tokens/og-mm_at_v4.2/r2l255k_chat_agents3_img_remap_response_text_delimit/image_size_512_512_16_crops_12/mammoth_internvl2_llama3_iconqa/train_seq_len_8193
